================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
82nd      Lasse Ikonen                  Sherpa              1568  4       174     Bot
83rd      Leopoldo Nunez                Independent         1147  2       172     Bot
84th      Josiane Irakoze               Independent         862   2       171     Bot
85th      Jonathon Deleon               Independent         1346  2       169     Bot
86th      George Clucas                 Monova              1389  2       169     Bot
87th      Brock Ingram                  Optech              1449  3       168     Bot
88th      Deo Nsengiyumva               HCOM                1274  2       167     Bot
89th      Yongsun Beom                  Fiber Shot          1107  2       167     Bot
90th      Igor Ibišević                 Independent         1358  3       167     Bot
91st      Shivansh Khanna               Formix              1059  2       166     Bot
92nd      Toni Seifert                  Independent         1034  2       165     Bot
93rd      Borys Shvets                  Roklit              1331  2       164     Bot
94th      Barry Church                  True Form           1544  4       164     Bot
95th      Adam Stuart                   Independent         1346  1       162     Bot
96th      Jerald Barker                 Independent         1357  2       162     Bot
97th      Elbert Nava                   Independent         931   2       161     Bot
98th      Ludvig Karlberg               Mashup Collective   1639  2       160     Human
99th      piggy dwarf                   Independent         100   2       160     Human
100th     Mykhailo Miroshnichenko       Eckleson            1514  4       160     Bot
101st     Bryan Carneiro                Independent         984   2       158     Bot
102nd     Joon Yeop                     Eckleson            1333  2       158     Bot
103rd     Michael Franke                Independent         1530  3       158     Bot
104th     Doug Hart                     Ilkley CC           1467  2       157     Human
105th     Wout Mathieu                  Independent         1446  3       155     Bot
106th     Luis Guerrero                 Independent         1643  4       155     Bot
107th     Robert Kennedy                HCOM                1594  4       155     Bot
108th     Denis David                   Independent         1234  2       153     Bot
109th     Kyaw Min                      Independent         1074  2       153     Bot
110th     Birger Hedegaard              eVOX                1315  2       152     Bot
111th     Gerald Allard                 Kumori              1137  2       151     Bot
112th     Seppo Oksanen                 Independent         1092  2       151     Bot
113th     Ritsu Sasaki                  Saitama             1459  3       151     Bot
114th     Allan Reyna                   Saitama             1371  3       151     Bot
115th     Albert Krause                 Fable               1451  3       150     Bot
116th     Thad Daugherty                Independent         1241  2       148     Bot
117th     Valentin Martinez             Roklit              1187  2       148     Bot
118th     Emil Kanev                    Independent         1433  3       148     Bot
119th     Kurt Förster                  Independent         1164  2       147     Bot
120th     Gustav Iiyambo                Independent         1155  2       147     Bot
121st     Zalan Kocsis                  Independent         1086  2       147     Bot
122nd     Danylo Semenyuk               Delta               1000  3       147     Bot
123rd     Ruojie Ten                    Saint               928   2       146     Bot
124th     Greg Trujillo                 Independent         1305  2       146     Bot
125th     Kamil Ješić                   Independent         1127  3       146     Bot
126th     Guadalupe Robles              Independent         1578  4       146     Bot
127th     Adam Dąbrowski                Independent         992   2       145     Bot
128th     Elie Ndayizeye                Windsail            1111  2       145     Bot
129th     Andreas Ziegler               Independent         1457  3       143     Bot
130th     Adam De                       Independent         1128  2       142     Bot
131st     Zhiyu Shak                    Delta               1028  2       142     Bot
132nd     Guillermo Santamaria          Independent         1191  1       141     Bot
133rd     Viljami Heikkilä              Sherpa              960   2       141     Bot
134th     Ousmane Keita                 Independent         1157  2       141     Bot
135th     Joon Cheon                    Hector              1120  2       140     Bot
136th     Fraser Kinnaird               Independent         1424  3       140     Bot
137th     Chad Moody                    Independent         1039  1       139     Bot
138th     Sammy Griffin                 Independent         1229  1       139     Bot
139th     Daeho Baek                    Independent         1361  2       139     Bot
140th     Louis Pierre                  Independent         1153  2       139     Bot
141st     Kenneth Pettersson            Ampex               1347  2       138     Bot
142nd     Heiko Lang                    Independent         1193  2       138     Bot
143rd     Erwin Müller                  Systech             1223  2       138     Bot
144th     Rune Skov                     Roklit              1088  2       138     Bot
145th     Minjun Ran                    Independent         1439  3       138     Bot
146th     Noel Toone KCC                Northampton & Dist  673   3       138     Human
147th     Jabari Meade                  Independent         1226  2       137     Bot
148th     Michael Bell                  Independent         1101  2       137     Bot
149th     Anastasia Crawford            Independent         855   2       137     Bot
150th     Nabil Anwar                   Independent         1448  4       137     Bot
151st     Mustapha Yahiaoui             Aspire              654   2       136     Bot
152nd     Andy Hall                     Ilkley CC           1390  2       136     Human
153rd     Kaique Correia                Independent         1211  2       135     Bot
154th     Anthony Alexander             Independent         1261  2       134     Bot
155th     AleX GoLd                     Race3R              1210  2       134     Human
156th     Branko Ljubojević             Independent         1164  1       133     Bot
157th     Karl Bjerre                   Nuvio               1055  2       133     Bot
158th     Dennis Edwards                Independent         1403  2       133     Bot
159th     Linus Fischer                 Independent         1144  2       133     Bot
160th     Emma Johnson                  Independent         991   2       133     Bot
161st     Oliver Lloyd                  Independent         1286  2       132     Bot
162nd     Lionel Martel                 Independent         1317  2       132     Bot
163rd     Hans Watson                   Independent         1020  2       132     Bot
164th     Hassan Al-Khatib              Independent         1429  2       132     Bot
165th     Walter Melendez               Independent         1113  2       132     Bot
166th     Georges Jackson               Aspire              1106  1       131     Bot
167th     Tomas Mendez                  Independent         1152  1       131     Bot
168th     Joe Giannone                  Independent         559   2       131     Human
169th     Dwayne Williams               eVOX                1378  2       131     Bot
170th     Stefanos Panagiotopoulos      Eckleson            1330  2       131     Bot
171st     Faro Guidi                    Independent         1046  2       131     Bot
172nd     Vicente Chung                 Independent         1264  2       130     Bot
173rd     Niraj Tamang                  Independent         1268  2       130     Bot
174th     Perry Massey                  Independent         1275  2       130     Bot
175th     Ryan Hamilton                 Wadenterror         1274  2       130     Human
176th     Sanford Casey                 Independent         1185  2       130     Bot
177th     Pooja Bhattarai               Meisterkuhl         817   2       130     Bot
178th     Rolf Eriksson                 Monova              1119  2       130     Bot
179th     George De Garis               Fable               1072  2       129     Bot
180th     Thomas Macleod                HCOM                1173  1       128     Bot
181st     Monroe Pacheco                Patriot             1278  2       128     Bot
182nd     Jame Wood                     Independent         1388  2       128     Bot
183rd     Kazuo Fujii                   Eckleson            1210  2       128     Bot
184th     Craig Friesen                 Independent         1103  2       128     Bot
185th     Mahmoud Khatib                Fujikai             857   2       128     Bot
186th     Nasser Pillai                 Independent         1067  2       127     Bot
187th     Herman Espinosa               Independent         1173  2       127     Bot
188th     Audrey Bourgeois              Titans              938   2       127     Bot
189th     Lukas Tuominen                Independent         1427  2       127     Bot
190th     Eugene Alexander              Independent         1220  2       127     Bot
191st     George Kenny                  Independent         1118  2       127     Bot
192nd     Ronald De Boer                Independent         1140  2       127     Bot
193rd     Alberto Gutierrez             Independent         1130  3       127     Bot
194th     Eduardo Gallego               Windsail            1087  1       126     Bot
195th     Berry Wilkerson               Capital             1227  2       126     Bot
196th     Jovana Pašalić                Aspire              698   2       126     Bot
197th     Leonidas Dimitriadis          Independent         814   2       126     Bot
198th     Santino Juarez                eVOX                1118  1       124     Bot
199th     Remo Spina                    AI Thunder          1321  1       124     Bot
200th     Thomas Gérard                 Independent         1195  1       124     Bot
201st     Miguel Carrillo               Monova              1052  2       124     Bot
202nd     Jakob Hilti                   Independent         1411  2       124     Bot
203rd     Eigil Svendsen                Independent         852   1       123     Bot
204th     Giovanni Pinna                Independent         1103  2       123     Bot
205th     Ezra Short                    Formix              1049  2       122     Bot
206th     Lucca Cardoso                 Patriot             1177  2       122     Bot
207th     Edwin Argueta                 Independent         1174  2       122     Bot
208th     Nico Winkler                  Douvan              1218  2       122     Bot
209th     Elvis Hodge                   Fable               1102  2       121     Bot
210th     Diego Theisen                 Independent         937   2       121     Bot
211th     Hyuk So                       Independent         1065  1       120     Bot
212th     Matej Zukanović               True Form           1168  2       120     Bot
213th     Kamal Hassan                  Independent         1143  2       120     Bot
214th     Julian Simon                  Independent         1200  2       120     Bot
215th     Bart Vermeulen                Independent         1138  2       120     Bot
216th     Francisco Matsinhe            Independent         1421  3       120     Bot
217th     Paul Levoa                    Roklit              1179  1       119     Bot
218th     Antony Preston                Independent         1006  3       119     Bot
219th     Syed Ibrahim                  Independent         1082  1       118     Bot
220th     Gemma Hamilton                Independent         100   2       118     Human
221st     Vernon Peck                   Independent         1123  2       118     Bot
222nd     Stephen Burgess               Formix              1267  2       118     Bot
223rd     Haruto Sugahara               eVOX                1162  2       118     Bot
224th     Francis Garcia                Saint               1121  2       118     Bot
225th     Sher Pillai                   Pioma               1103  1       117     Bot
226th     Jaime Ibañez                  YES                 924   2       117     Bot
227th     Anneke Peters                 Independent         704   2       117     Bot
228th     Nikola Serdarušić             Independent         1436  3       117     Bot
229th     Jess Benitez                  Independent         953   1       116     Bot
230th     Emerson Beck                  Capital             1145  1       116     Bot
231st     Mika Walter                   Kumori              1252  2       116     Bot
232nd     Sascha Walter                 Independent         1319  2       115     Bot
233rd     Jérôme Renard                 Independent         1022  2       115     Bot
234th     Martin Mehmed                 Sherpa              1033  2       115     Bot
235th     Serge Muller                  Heat                1145  2       115     Bot
236th     Theodore Burton               Independent         1496  3       115     Bot
237th     Reinhold Schmitz              Independent         1096  1       114     Bot
238th     Eetu Saarinen                 Independent         894   1       114     Bot
239th     Patrick Huber                 Independent         1149  1       114     Bot
240th     Romain Devos                  Independent         1198  2       114     Bot
241st     Roberto Rivas                 Independent         1178  2       114     Bot
242nd     Richard De Jonge              Independent         1278  2       114     Bot
243rd     Jerry Elliott                 Independent         1301  2       114     Bot
244th     Brian McIntosh                Independent         1129  2       113     Bot
245th     Roger Craig                   Independent         1280  2       113     Bot
246th     Ethan Damme                   Independent         1224  2       113     Bot
247th     Salvador Mangue               Kumori              1151  2       113     Bot
248th     Werner Schwarz                Independent         1139  2       113     Bot
249th     Koji Ōtsuka                   Independent         1102  1       112     Bot
250th     George Young                  Kumori              1103  2       112     Bot
251st     Philippe Masson               Independent         1046  2       112     Bot
252nd     Bart De Groot                 Independent         1129  2       112     Bot
253rd     Vladimir Rockova              Aspire              1136  2       112     Bot
254th     Maria Carrillo                Independent         926   1       111     Bot
255th     Victor Garcia                 Orbit               1081  1       111     Bot
256th     Christopher Dixon             Titans              1125  2       111     Bot
257th     Juliette Laurent              Independent         869   2       111     Bot
258th     David Prakash                 Independent         1277  2       111     Bot
259th     Chunghee Cha                  Independent         1266  2       111     Bot
260th     Edi Rahman                    Independent         1145  2       111     Bot
261st     Carlos Valencia               Nitro               1261  2       111     Bot
262nd     Bas Van der Veen              Kumori              1106  2       111     Bot
263rd     Kai Wong                      Independent         934   2       111     Bot
264th     Christine Abraham             Fiber Shot          768   2       110     Bot
265th     Johnny Bilodeau               True Form           1180  2       110     Bot
266th     Ludovic Giorgi                Independent         1222  2       110     Bot
267th     Clement Etienne               Independent         1144  2       110     Bot
268th     Yuto Okada                    Fiber Shot          955   2       110     Bot
269th     Yuri Shevchuk                 Windsail            876   2       110     Bot
270th     Malong Thon                   Eckleson            1117  1       109     Bot
271st     Sofia Calleja                 Independent         804   2       109     Bot
272nd     Dagbjartur Guðmundsson        Independent         1186  2       109     Bot
273rd     Junjian Thien                 Independent         1115  2       109     Bot
274th     Simon Anderson                Independent         993   2       109     Bot
275th     Junaid Al-Muhairi             Fable               831   2       109     Bot
276th     Jun’ichi Okada                Independent         1224  2       108     Bot
277th     Bashir Khan                   Independent         1107  2       108     Bot
278th     Mark Henningsen               Independent         894   2       108     Bot
279th     Adrian Lorenzo                Dashix              1124  2       108     Bot
280th     Darryl Powell                 Independent         917   1       107     Bot
281st     Josiah Sherman                Independent         1111  1       107     Bot
282nd     Denis Giles                   Independent         1091  2       107     Bot
283rd     Karsten Kristiansen           Independent         1298  2       107     Bot
284th     Tad Hardy                     Base                1189  1       106     Bot
285th     Michael Papp                  Nitro               1233  2       106     Bot
286th     Dario Bernardi                Independent         1083  2       106     Bot
287th     Benjamin Healy                Aria Olefson        878   1       105     Bot
288th     Jonathan Berger               Optech              1130  1       105     Bot
289th     Norris Arnold                 Fujikai             1263  2       105     Bot
290th     Thanh Castro                  Independent         1192  2       105     Bot
291st     Aleksandar Šančić             Independent         1072  2       105     Bot
292nd     Willis Kelly                  Eckleson            608   2       105     Bot
293rd     Arnold Tanner                 Independent         742   2       105     Bot
294th     Claudia D'Agostino            Dashix              808   2       105     Bot
295th     Eric Ayers                    Aria Olefson        944   3       105     Bot
296th     Irwin Hebert                  Kumori              880   1       104     Bot
297th     Hugh Carlson                  Independent         1126  2       104     Bot
298th     Ralf Scholz                   Independent         1055  1       103     Bot
299th     Christian Svensson            Independent         1290  2       103     Bot
300th     Arvid Nyman                   Independent         927   1       102     Bot
301st     Aldo Esposito                 Independent         1356  2       102     Bot
302nd     Judson Cook                   Independent         1212  2       102     Bot
303rd     Brandi Anthony                Kumori              838   2       102     Bot
304th     Luboslaw Živulić              Independent         1122  1       101     Bot
305th     Juan Cervantes                Monova              1220  2       101     Bot
306th     Adél Vass                     Independent         649   2       101     Bot
307th     Sonia Gayle                   Optech              756   2       101     Bot
308th     Jerrod Welch                  Base                863   2       101     Bot
309th     Dongsun Mi                    Independent         1121  1       100     Bot
310th     Aleksander Sandvik            Independent         1229  2       100     Bot
311th     James Roche                   Independent         1182  2       100     Bot
312th     Fernand Brunet                Independent         897   2       100     Bot
313th     Ian Winchester                Paramount CRT       100   2       100     Human
314th     Jia-Li Luo                    Patriot             1037  1       99      Bot
315th     Miguel Bedoya                 Ampex               1275  2       99      Bot
316th     Thad Franklin                 Independent         1234  2       99      Bot
317th     Jan Smets                     Independent         1092  1       98      Bot
318th     Keven Krause                  Aguda               1198  1       98      Bot
319th     Vanessa Walker                Systech             906   1       98      Bot
320th     Xavier Travesset              Independent         1203  2       98      Bot
321st     Arjan Visser                  Fiber Shot          911   2       98      Bot
322nd     Théo Martin                   Independent         570   2       98      Bot
323rd     André Diogo                   Independent         965   1       97      Bot
324th     Lowell Knox                   Independent         901   1       97      Bot
325th     Elia Venturi                  Independent         1235  2       97      Bot
326th     Dominique Roche               Independent         1145  2       97      Bot
327th     Shelton Montes                Fujikai             1102  2       97      Bot
328th     Chen Leung                    Optech              1109  2       96      Bot
329th     Aleksandar Brašanac           Krowen              1119  2       96      Bot
330th     Bart De Jong                  Aguda               1035  2       96      Bot
331st     Eino Niskanen                 Monova              618   1       95      Bot
332nd     Goran Tsyplakov               Zonkify             840   1       95      Bot
333rd     Jan Ström                     Independent         1091  1       95      Bot
334th     Wim Dijkstra                  Independent         1118  1       95      Bot
335th     Ralf Sommer                   Independent         945   1       95      Bot
336th     Arthur Clercq                 Independent         1100  2       94      Bot
337th     Eemil Saarinen                Saitama             1115  2       94      Bot
338th     Tomislav Sinkovits            Orbit               1142  2       94      Bot
339th     Graciela Zimmerman            Independent         1023  2       94      Bot
340th     Bryce Morris                  Independent         1195  1       93      Bot
341st     Nicolas Jung                  Independent         1147  2       93      Bot
342nd     Wendell Hall                  Krowen              1153  2       93      Bot
343rd     Eeli Huttunen                 True Form           1195  2       93      Bot
344th     Emmanuel Leclercq             Independent         1121  2       93      Bot
345th     Marta Harmon                  Heat                591   1       92      Bot
346th     Andreas König                 Independent         713   1       92      Bot
347th     Peter Jensen                  Kumori              850   1       92      Bot
348th     Timéo Schumacher              Independent         821   1       92      Bot
349th     Sri Astuti                    Independent         926   1       92      Bot
350th     Román Cardozo                 Independent         1053  1       92      Bot
351st     William Axelsson              Independent         1259  2       92      Bot
352nd     Judson Richard                Independent         965   2       92      Bot
353rd     Wyatt Barrera                 Independent         820   2       92      Bot
354th     Niyaz Shaheen                 Independent         1134  2       92      Bot
355th     Lorenzo Roldan                Independent         924   2       92      Bot
356th     Merlin Stokes                 Pioma               802   2       91      Bot
357th     Curt Winters                  Independent         1121  2       91      Bot
358th     Jaap Van der Linden           Independent         1128  2       91      Bot
359th     Elwood Hancock                Hinal               1226  2       91      Bot
360th     Ethan Flynn                   Hinal               1234  2       91      Bot
361st     Emiliano Martini              Independent         1224  2       91      Bot
362nd     Balam Dang                    Independent         659   1       90      Bot
363rd     Tom Lambert                   Windsail            872   1       90      Bot
364th     Jolanda Schütz                Independent         748   1       90      Bot
365th     Mauro McLean                  Aguda               825   1       90      Bot
366th     Rafael de La Cruz             AI Thunder          1139  1       90      Bot
367th     Thomas Moen                   Independent         1170  1       90      Bot
368th     Gregor Baumann                Independent         1014  1       90      Bot
369th     Ian Bright                    Coalition           466   2       90      Human
370th     Julian Clercq                 Independent         1266  2       90      Bot
371st     Petar Hladki                  Independent         1217  2       90      Bot
372nd     Igor Mraz                     Independent         1080  2       90      Bot
373rd     Hilda Korhonen                Eckleson            848   2       89      Bot
374th     Ali Hosseini                  Independent         1119  2       89      Bot
375th     Tyree Nicholson               Independent         1104  2       89      Bot
376th     Linn Strøm                    Independent         904   1       88      Bot
377th     Youssouf Abdallah             Independent         1117  1       88      Bot
378th     Krisztián Máté                Krowen              884   1       88      Bot
379th     Hugo Schmitt                  Independent         1029  1       88      Bot
380th     Stig Wallin                   Capital             1080  2       88      Bot
381st     Nobutoshi Takahashi           Independent         1187  2       88      Bot
382nd     Jack Mahy                     Base                1285  2       88      Bot
383rd     John Pettersson               Independent         1090  1       87      Bot
384th     Anne Vos                      Independent         958   1       87      Bot
385th     Clarissa Greene               Independent         751   1       87      Bot
386th     Cecilia Ibrahim               Independent         700   1       87      Bot
387th     Andrew Crisostomo             Meisterkuhl         1110  1       87      Bot
388th     Chad Maynard                  Dashix              865   1       87      Bot
389th     Hina Hu                       Fable               659   2       87      Bot
390th     Ivan Lorenzen                 eVOX                643   1       86      Bot
391st     Vasileios Lamprou             Formix              1012  1       86      Bot
392nd     Ayoub Renard                  Krowen              609   1       86      Bot
393rd     Dallas Mejia                  Independent         609   1       86      Bot
394th     Nolan Harvey                  Zonkify             1067  1       86      Bot
395th     Linus Langer                  Independent         1023  1       86      Bot
396th     Dennis Verhoeven              Independent         462   2       86      Bot
397th     Jack Thomas                   Independent         1147  2       86      Bot
398th     Karolina Albrecht             Independent         1008  2       86      Bot
399th     Frankie Maher                 Independent         633   2       86      Bot
400th     Emil Pilc                     Systech             1104  2       86      Bot
401st     Mirna Henriquez               YES                 637   1       85      Bot
402nd     Isabelle Salgado              Systech             833   1       85      Bot
403rd     Chana Shachar                 Independent         748   1       85      Bot
404th     Nicole Schouten               Independent         792   1       85      Bot
405th     Daisy Nyaga                   Independent         952   1       85      Bot
406th     Ravi Abdulla                  Windsail            1051  1       85      Bot
407th     Habib Alam                    Independent         1168  1       85      Bot
408th     Kilian Hahn                   eVOX                961   1       85      Bot
409th     Sheikh Nair                   Independent         929   1       84      Bot
410th     Nobutoshi Nakashima           Independent         1005  1       84      Bot
411th     Menachem Levy                 Independent         1142  2       84      Bot
412th     Yosyp Melnichuk               Independent         1180  2       84      Bot
413th     Claude Nguema                 Independent         821   2       84      Bot
414th     Eddie Kemp                    Sherpa              655   1       83      Bot
415th     Francois Thomson              Independent         1011  1       83      Bot
416th     Andreas Schumann              Independent         805   1       83      Bot
417th     Leila Rachidi                 Independent         740   1       83      Bot
418th     Klaus Busch                   Ampex               940   1       83      Bot
419th     Qingjin Wan                   Independent         899   1       83      Bot
420th     Michael Srensen               Independent         914   1       83      Bot
421st     Kenneth Fuentes               Pioma               935   2       83      Bot
422nd     Harrison Bridges              Independent         1195  2       83      Bot
423rd     Sofia Herasymenko             Aria Olefson        646   2       83      Bot
424th     Nico Schmidt                  Independent         1039  2       83      Bot
425th     Oleg Winograd                 Independent         967   2       83      Bot
426th     Atsuki Ueda                   Independent         1123  1       82      Bot
427th     Paula Diogo                   Independent         616   1       82      Bot
428th     Yamikani Tembo                Independent         784   1       82      Bot
429th     Olli Laaksonen                Dashix              640   1       82      Bot
430th     Stefan Mohamed                Independent         785   1       82      Bot
431st     Philipp Marxer                Saitama             802   1       82      Bot
432nd     Johan Londoño                 Independent         1017  1       81      Bot
433rd     Betty Wright                  Independent         362   1       81      Bot
434th     Michael Griffith              Independent         1037  1       81      Bot
435th     Gabriela Domínguez            eVOX                611   1       81      Bot
436th     Thomas Schulte                Independent         539   1       81      Bot
437th     Emilie Lambert                Patriot             914   1       81      Bot
438th     Sebastian Berglund            Meisterkuhl         1106  1       81      Bot
439th     Tiyamike Kasiya               Independent         1000  2       81      Bot
440th     Joshua Hendrickx              Independent         1160  2       81      Bot
441st     Tim Jansen                    Independent         1004  2       81      Bot
442nd     Agustin Hickman               Independent         651   1       80      Bot
443rd     Christoffer Arvidsson         Independent         1182  1       80      Bot
444th     Vira Yurchenko                Aria Olefson        602   1       80      Bot
445th     Kamil Kukharchuk              Independent         986   1       80      Bot
446th     Morten Isaksen                Patriot             903   1       80      Bot
447th     Sandra Stein                  Independent         448   2       80      Bot
448th     Joyce Nichols                 Independent         616   1       79      Bot
449th     Kelly Wolf                    Independent         1171  1       79      Bot
450th     Annabelle Wenzel              Independent         694   1       79      Bot
451st     Maj Wallin                    Independent         586   1       79      Bot
452nd     Gianni de                     YES                 939   1       79      Bot
453rd     Birgir Gunnarsdóttir          Aspire              1131  1       79      Bot
454th     Kenzo Ichikawa                Titans              1002  1       79      Bot
455th     Ariel Leibowitz               Independent         882   1       79      Bot
456th     Marcos Soriano                Independent         1291  2       79      Bot
457th     Rob Ford                      Independent         996   2       79      Bot
458th     Tukua Ha'apai                 AMO Solutions       995   1       78      Bot
459th     Leao Kramer                   Fiber Shot          862   1       78      Bot
460th     Eleanor Culmer                Independent         541   1       78      Bot
461st     Jose Galvez                   Independent         676   1       78      Bot
462nd     Evi Baumann                   Independent         933   1       78      Bot
463rd     Rafael Aguirre                Independent         1135  1       78      Bot
464th     Grace Lawson                  Independent         969   1       78      Bot
465th     Attila Vida                   HCOM                865   1       78      Bot
466th     Mason Clague                  Independent         1247  2       78      Bot
467th     Bert Jacobs                   Fujikai             1065  2       78      Bot
468th     Juan Segura                   Hector              865   1       77      Bot
469th     Vira Shvets                   Aspire              674   1       77      Bot
470th     Alastair Somerville           Optech              1064  1       77      Bot
471st     Tanner Dominguez              Independent         853   1       77      Bot
472nd     Ingrid Pettersen              Independent         624   1       77      Bot
473rd     Yukinari Nakayama             Independent         1035  1       77      Bot
474th     Heiko Schmid                  Windsail            958   1       77      Bot
475th     Faro D'Amico                  Independent         895   1       77      Bot
476th     Greta McIntyre                Titans              661   2       77      Bot
477th     Aviv Adri                     Independent         1180  2       77      Bot
478th     Dean Harding                  Itchy Trout Racing  656   2       77      Human
479th     Olli Vainio                   YES                 1198  2       77      Bot
480th     Espen Lie                     Independent         1151  2       77      Bot
481st     Mathéo Desmet                 Independent         1185  1       76      Bot
482nd     Risto Rissanen                Independent         835   1       76      Bot
483rd     Cynthia Liu                   Independent         896   1       76      Bot
484th     Nicolas Smets                 Ampex               894   1       76      Bot
485th     Laura Van der Veen            Independent         1005  1       76      Bot
486th     Allan Plante                  Independent         991   1       76      Bot
487th     Kaj Laugesen                  Orbit               914   1       76      Bot
488th     bálint Illés                  Independent         913   1       76      Bot
489th     Antoine Henry                 Independent         646   1       75      Bot
490th     Hank Ross                     Independent         1208  1       75      Bot
491st     Elmo Tosi                     Independent         1255  1       75      Bot
492nd     Julia Kalieva                 Independent         803   1       75      Bot
